user_id,team_chat_session_id,chat_item_id,timestamp
1754,6810,6812,1464235803
1847,6779,6824,1464235815
1349,6792,6840,1464237603
63,6784,6861,1464239411
1125,6792,6864,1464239414
192,6796,6865,1464239415
1479,6794,6869,1464239419
1755,6799,6870,1464239420
417,6789,6872,1464239422
708,6783,6905,1464243002
518,6782,6906,1464243003
708,6783,6908,1464243005
674,6778,6915,1464243012
611,6809,6923,1464243020
540,6783,6928,1464243025
294,6783,6934,1464243031
1318,6910,6935,1464243032
1989,6782,6936,1464243033
968,6911,6939,1464243036
1038,6790,6941,1464243038
515,6821,6942,1464243039
1873,6850,6944,1464243041
789,6796,6950,1464243047
9,6776,6954,1464243051
1318,6910,6955,1464243052
1789,6819,6958,1464243055
1535,6795,6965,1464244800
1085,6910,6967,1464244802
1482,6787,6968,1464244803
668,6781,6972,1464244807
1503,6792,6976,1464244811
516,6784,6977,1464244812
63,6784,6980,1464244815
2100,6791,6983,1464244818
515,6821,6985,1464244820
630,6785,6986,1464244821
1366,6810,6988,1464244823
329,6914,6990,1464244825
240,6783,6992,1464244827
1658,6782,6993,1464244828
996,6984,6994,1464244829
1085,6910,6995,1464244830
708,6783,7009,1464246601
968,6911,7010,1464246602
2006,6974,7012,1464246604
1479,6794,7015,1464246607
1127,7008,7016,1464246608
265,6819,7017,1464246609
2093,6922,7018,1464246610
1768,6891,7019,1464246611
1847,6779,7020,1464246612
2093,6922,7021,1464246613
1975,6949,7023,1464246615
1038,6790,7027,1464246619
1494,6859,7030,1464246622
611,6809,7031,1464246623
1398,6780,7033,1464246625
1165,6914,7034,1464246626
1975,6949,7041,1464246633
1038,6790,7044,1464246636
2089,6889,7046,1464246638
412,6778,7047,1464246639
1755,6799,7049,1464246641
350,6777,7050,1464246642
1237,6819,7051,1464246643
1573,6777,7052,1464246644
1535,6795,7054,1464246646
516,6784,7056,1464246648
696,6943,7059,1464246651
1559,6912,7060,1464246652
743,6922,7076,1464248399
1256,6785,7077,1464248400
14,6782,7079,1464248402
1051,6859,7081,1464248404
1450,6794,7083,1464248406
869,6809,7085,1464248408
611,6809,7086,1464248409
1051,6859,7090,1464248413
869,6809,7091,1464248414
333,6811,7092,1464248415
428,6886,7095,1464248418
1627,6784,7097,1464248420
540,6783,7099,1464248422
719,6792,7100,1464248423
423,6925,7102,1464248425
257,6792,7105,1464248428
2047,6889,7108,1464248431
319,6857,7109,1464248432
1658,6782,7112,1464248435
983,6799,7113,1464248436
254,7024,7115,1464248438
214,6800,7118,1464248441
2075,6854,7131,1464250199
14,6782,7134,1464250202
1494,6859,7135,1464250203
518,6782,7136,1464250204
254,7024,7141,1464250209
507,6813,7145,1464250213
254,7024,7146,1464250214
1085,6910,7147,1464250215
983,6799,7148,1464250216
1335,6866,7149,1464250217
1535,6795,7150,1464250218
630,6785,7151,1464250219
303,6813,7152,1464250220
1658,6782,7154,1464250222
951,6903,7155,1464250223
1535,6795,7157,1464250225
14,6782,7158,1464250226
1673,6818,7159,1464250227
518,6782,7160,1464250228
1107,6796,7161,1464250229
1165,6914,7173,1464251999
740,6778,7174,1464252000
1873,6850,7175,1464252001
1479,6794,7176,1464252002
1873,6850,7179,1464252005
1366,6810,7180,1464252006
951,6903,7182,1464252008
192,6796,7183,1464252009
1110,6973,7184,1464252010
516,6784,7185,1464252011
1873,6850,7186,1464252012
20,6799,7190,1464252016
333,6811,7191,1464252017
1989,6782,7193,1464252019
350,6777,7194,1464252020
1259,6853,7195,1464252021
440,6863,7196,1464252022
1311,6797,7205,1464253799
1535,6795,7206,1464253800
329,6914,7207,1464253801
428,6886,7208,1464253802
240,6783,7209,1464253803
968,6911,7210,1464253804
1503,6792,7211,1464253805
1482,6787,7214,1464253808
1253,7058,7231,1464255600
1095,6792,7232,1464255601
1596,6791,7233,1464255602
253,6863,7235,1464255604
951,6903,7237,1464255606
1398,6780,7238,1464255607
365,6819,7239,1464255608
1658,6782,7240,1464255609
1253,7058,7252,1464257400
915,7104,7253,1464257401
1084,6778,7254,1464257402
1847,6779,7268,1464259202
394,6875,7269,1464259203
1754,6810,7272,1464259206
1559,6912,7273,1464259207
1287,6790,7274,1464259208
88,6821,7275,1464259209
1741,6799,7276,1464259210
